year,seed,band,importance
1999_2001,5,EVI_sin_3,113.51093651260318
1999_2001,5,lrad,134.26588372443152
1999_2001,5,B1,92.46745559167726
1999_2001,5,B5,97.82148276006684
1999_2001,5,Mean_NDVI,98.16003053833278
1999_2001,6,B7,114.89185153092599
1999_2001,6,DEM,125.16594011329019
1999_2001,6,EVI_sin_2,134.042525134294
1999_2001,6,Mean_EVI,93.77824026187021
1999_2001,6,Mean_NDBI,85.36184374386725
1999_2001,6,NDBI_cos_3,114.24128802171325
1999_2001,6,SLOPE,121.32386148432396
1999_2001,6,random,104.74233620129216
1999_2001,6,shum,128.48494355781892
1999_2001,6,wind,116.95977367900157
1999_2001,6,B4,96.1402824237448
1999_2001,6,EVI_sin_3,108.79780827479877
1999_2001,6,lrad,126.14906919812475
1999_2001,6,B1,86.77573623359999
1999_2001,6,B5,102.9670022299851
1999_2001,6,Mean_NDVI,97.89609249253692
1999_2001,7,B7,101.22066945387643
1999_2001,7,DEM,118.24329866555696
1999_2001,7,EVI_sin_2,114.42508923254827
1999_2001,7,Mean_EVI,91.46445585151014
1999_2001,7,Mean_NDBI,96.03239356090135
1999_2001,7,NDBI_cos_3,115.29045001475724
1999_2001,7,SLOPE,118.75979968384084
1999_2001,7,random,107.92871110647067
1999_2001,7,shum,131.59858479935548
1999_2001,7,wind,108.01449402568387
1999_2001,7,B4,102.0670441999796
1999_2001,7,EVI_sin_3,98.29204295875029
1999_2001,7,lrad,132.51465122691383
1999_2001,7,B1,82.07469847235957
1999_2001,7,B5,100.84610952770592
1999_2001,7,Mean_NDVI,84.81551091222502
1999_2001,8,B7,98.48347427932764
1999_2001,8,DEM,115.8187681010339
1999_2001,8,EVI_sin_2,120.65549306484026
1999_2001,8,Mean_EVI,88.24390425514522
1999_2001,8,Mean_NDBI,84.9982059751711
1999_2001,8,NDBI_cos_3,118.76145425956356
1999_2001,8,SLOPE,112.42381496208597
1999_2001,8,random,100.75000687831086
1999_2001,8,shum,119.89882338717355
1999_2001,8,wind,120.57755026749268
1999_2001,8,B4,97.69219901430735
1999_2001,8,EVI_sin_3,113.11418027806751
1999_2001,8,lrad,131.27458382132485
1999_2001,8,B1,91.87733114542235
1999_2001,8,B5,83.81644353042041
1999_2001,8,Mean_NDVI,84.2137392665713
1999_2001,9,B7,108.48700028600915
1999_2001,9,DEM,129.26770630890286
1999_2001,9,EVI_sin_2,125.33390572008715
1999_2001,9,Mean_EVI,95.49627838050412
1999_2001,9,Mean_NDBI,86.37470529809582
